nr,x,y
13,390,230
12,400,130
11,280,130
10,340,240
9,340,400
8,380,260
7,318.75,118.75
6,525,162.5
5,118.75,162.5
4,318.75,162.5
3,340,400
2,550,190
1,340,190
0,140,190
