point,label,class
0,
1,B
2,
3,
4,E
5,F
6,G
7,1,hidden big
8,2,hidden big
9,a,hidden
10,b,hidden
11,c,hidden
12,d,hidden
13,e,hidden
14,f,hidden
15,A,hidden
16,D,hidden
17,C,hidden
18,3,hidden big
19,H
20,g,hidden
21,h,hidden
